Player,MIN,PTS,AS,Res_pts_min,Res_as_min
中野司,19.377796610169494,8.084745762711865,0.6610169491525424,-0.09967888237120981,-1.2401412671771763
久保田義章,10.878947368421054,2.280701754385965,1.6491228070175439,-1.3548634044956405,0.6392584081611052
五十嵐圭,24.421666666666667,7.333333333333333,3.9375,-3.550733992897542,1.507379559536314
井上宗一郎,8.580666666666668,1.6,0.06666666666666667,-0.805450860492376,-0.7021717624350223
井上裕介,3.5826,1.38,0.12,1.649676362338174,-0.12467971153831842
今川友哲,12.720363636363636,2.8363636363636364,0.5454545454545454,-1.7847871730234117,-0.6575234018749918
今村佳太,22.753928571428567,9.75,1.5892857142857142,-0.24143986111976368,-0.6659352061172321
伊藤大司,7.457796610169492,0.7288135593220338,0.5084745762711864,-1.075640864714205,-0.14260589399231138
伊藤達哉,18.394166666666667,4.875,4.354166666666667,-2.7829540286335774,2.5561639790900736
伊藤領,0.6033333333333333,0.0,0.1111111111111111,1.8642764138390804,0.17887392974031702
伊藤駿,8.785714285714286,2.232142857142857,1.5892857142857142,-0.28305613283109343,0.7989434709679771
佐土原遼,8.941875,3.5625,0.8125,0.9637187359622699,0.005780824321660938
佐藤公威,17.21277777777778,3.611111111111111,0.9629629629629629,-3.4145253058960647,-0.7111447615725316
佐藤卓磨,17.73388888888889,4.351851851851852,0.9444444444444444,-2.9527001163923634,-0.7843133978115067
佐藤託矢,1.6695238095238096,0.38095238095238093,0.047619047619047616,1.674569106195909,0.003568025027325533
保岡龍斗,16.722807017543857,6.175438596491228,1.6140350877192982,-0.5879495940498316,-0.008688279132339494
兪龍海,4.196666666666667,0.7333333333333333,0.26666666666666666,0.6743413192393909,-0.04241162495563372
八村阿蓮,10.09,1.5454545454545454,0.18181818181818182,-1.667840419089846,-0.7453074965616908
内海慎吾,4.364583333333333,0.75,0.125,0.6011335452222677,-0.20168809767881196
内田旦人,12.203214285714287,3.357142857142857,0.42857142857142855,-0.9872128635716604,-0.7201718799460828
前田怜緒,15.650344827586206,4.741379310344827,1.0,-1.4479923671820973,-0.5102517966197999
前田悟,25.519666666666673,9.433333333333334,0.9666666666666667,-2.0384191692993436,-1.5786035527551334
加藤寿一,1.314909090909091,0.2545454545454545,0.05454545454545454,1.7379634670966007,0.047683691028211884
北原秀明,10.193999999999999,2.466666666666667,0.4666666666666667,-0.8022924675915553,-0.4713657303030453
北川弘,21.687500000000007,5.25,3.9166666666666665,-4.170652736238244,1.773284557078488
原修太,21.05929824561403,6.2631578947368425,1.912280701754386,-2.821260908129597,-0.1652204486729143
古川孝敏,21.765254237288133,9.11864406779661,1.576271186440678,-0.34362525556062984,-0.5752651883904736
古野拓巳,16.275740740740744,3.759259259259259,4.018518518518518,-2.7648445745000765,2.4426800177447543
合田怜,15.228333333333333,3.0,1.5,-2.9634974521684683,0.03400551693302467
吉井裕鷹,0.0,0.0,0.0,2.1871999624994487,0.13103576942282613
喜多川修平,11.068000000000005,4.083333333333333,0.36666666666666664,0.3465810805184857,-0.6630241153753511
土屋アリスター時生,0.8939024390243903,0.34146341463414637,0.07317073170731707,2.050217828350311,0.11046090161850669
